order_id,order_date,region,product_category,quantity,sales,profit
1,2023-01-01 00:00:00,East,Office Supplies,4,296,50
2,2023-01-01 01:00:00,West,Furniture,4,213,29
3,2023-01-01 02:00:00,North,Electronics,3,234,102
4,2023-01-01 03:00:00,East,Furniture,1,198,97
5,2023-01-01 04:00:00,East,Office Supplies,2,162,103
6,2023-01-01 05:00:00,West,Office Supplies,1,333,109
7,2023-01-01 06:00:00,North,Office Supplies,1,45,78
8,2023-01-01 07:00:00,North,Office Supplies,1,237,121
9,2023-01-01 08:00:00,East,Furniture,2,495,42
10,2023-01-01 09:00:00,South,Electronics,3,78,5
11,2023-01-01 10:00:00,East,Furniture,2,365,58
12,2023-01-01 11:00:00,East,Electronics,2,64,100
13,2023-01-01 12:00:00,East,Office Supplies,3,469,26
14,2023-01-01 13:00:00,East,Electronics,3,438,23
15,2023-01-01 14:00:00,West,Office Supplies,3,243,38
16,2023-01-01 15:00:00,North,Furniture,4,369,48
17,2023-01-01 16:00:00,West,Electronics,4,275,121
18,2023-01-01 17:00:00,West,Furniture,3,129,113
19,2023-01-01 18:00:00,West,Office Supplies,1,339,71
20,2023-01-01 19:00:00,East,Furniture,4,359,118
21,2023-01-01 20:00:00,South,Office Supplies,2,269,26
22,2023-01-01 21:00:00,North,Office Supplies,2,96,33
23,2023-01-01 22:00:00,South,Office Supplies,4,302,146
24,2023-01-01 23:00:00,West,Furniture,2,106,66
25,2023-01-02 00:00:00,West,Furniture,3,269,19
26,2023-01-02 01:00:00,South,Electronics,2,227,146
27,2023-01-02 02:00:00,South,Electronics,4,178,119
28,2023-01-02 03:00:00,South,Furniture,1,31,101
29,2023-01-02 04:00:00,West,Furniture,2,244,91
30,2023-01-02 05:00:00,West,Furniture,2,377,129
31,2023-01-02 06:00:00,North,Furniture,1,320,124
32,2023-01-02 07:00:00,North,Office Supplies,4,403,11
33,2023-01-02 08:00:00,West,Office Supplies,1,51,88
34,2023-01-02 09:00:00,South,Office Supplies,2,73,11
35,2023-01-02 10:00:00,South,Furniture,4,469,21
36,2023-01-02 11:00:00,North,Office Supplies,3,261,36
37,2023-01-02 12:00:00,West,Office Supplies,4,388,129
38,2023-01-02 13:00:00,North,Electronics,4,134,83
39,2023-01-02 14:00:00,North,Electronics,3,490,66
40,2023-01-02 15:00:00,East,Office Supplies,4,307,62
41,2023-01-02 16:00:00,East,Office Supplies,2,418,115
42,2023-01-02 17:00:00,East,Office Supplies,2,123,135
43,2023-01-02 18:00:00,South,Furniture,2,330,93
44,2023-01-02 19:00:00,West,Electronics,2,316,84
45,2023-01-02 20:00:00,West,Electronics,3,146,122
46,2023-01-02 21:00:00,West,Electronics,2,59,5
47,2023-01-02 22:00:00,West,Office Supplies,4,91,114
48,2023-01-02 23:00:00,East,Furniture,1,254,71
49,2023-01-03 00:00:00,South,Electronics,3,389,66
50,2023-01-03 01:00:00,South,Electronics,3,452,60
51,2023-01-03 02:00:00,East,Furniture,1,489,60
52,2023-01-03 03:00:00,South,Office Supplies,2,266,82
53,2023-01-03 04:00:00,East,Office Supplies,2,313,83
54,2023-01-03 05:00:00,West,Electronics,4,266,100
55,2023-01-03 06:00:00,East,Electronics,2,331,52
56,2023-01-03 07:00:00,West,Furniture,2,53,42
57,2023-01-03 08:00:00,West,Electronics,4,148,26
58,2023-01-03 09:00:00,North,Furniture,2,29,77
59,2023-01-03 10:00:00,East,Electronics,1,187,133
60,2023-01-03 11:00:00,North,Electronics,2,291,129
61,2023-01-03 12:00:00,East,Electronics,1,235,128
62,2023-01-03 13:00:00,East,Office Supplies,1,449,79
63,2023-01-03 14:00:00,North,Furniture,1,427,138
64,2023-01-03 15:00:00,North,Furniture,2,259,60
65,2023-01-03 16:00:00,East,Office Supplies,2,33,124
66,2023-01-03 17:00:00,South,Office Supplies,3,109,16
67,2023-01-03 18:00:00,West,Office Supplies,4,442,43
68,2023-01-03 19:00:00,North,Furniture,4,37,112
69,2023-01-03 20:00:00,West,Electronics,3,359,144
70,2023-01-03 21:00:00,South,Office Supplies,1,188,37
